Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Total, Harghita, Anul 1990, Mii hectare, 231.2
Total, Harghita, Anul 1991, Mii hectare, 231.3
Total, Harghita, Anul 1992, Mii hectare, 231.3
Total, Harghita, Anul 1993, Mii hectare, 231.3
Total, Harghita, Anul 1994, Mii hectare, 230.8
Total, Harghita, Anul 1995, Mii hectare, 231.1
Total, Harghita, Anul 1996, Mii hectare, 231.3
Total, Harghita, Anul 1997, Mii hectare, 231.4
Total, Harghita, Anul 1998, Mii hectare, 231.5
Total, Harghita, Anul 1999, Mii hectare, 231.5
Total, Harghita, Anul 2000, Mii hectare, 231.4
Total, Harghita, Anul 2001, Mii hectare, 231.4
Total, Harghita, Anul 2002, Mii hectare, 226.9
Total, Harghita, Anul 2003, Mii hectare, 231
Total, Harghita, Anul 2004, Mii hectare, 234.9
Total, Harghita, Anul 2005, Mii hectare, 237.4
Total, Harghita, Anul 2006, Mii hectare, 265.4
Total, Harghita, Anul 2007, Mii hectare, 272.8
Total, Harghita, Anul 2008, Mii hectare, 264.8
Total, Harghita, Anul 2009, Mii hectare, 264.1
Total, Harghita, Anul 2010, Mii hectare, 262.3
Total, Harghita, Anul 2011, Mii hectare, 262.4
Total, Harghita, Anul 2012, Mii hectare, 262.4
Total, Harghita, Anul 2013, Mii hectare, 264.1
Total, Harghita, Anul 2014, Mii hectare, 264.1
Total, Harghita, Anul 2015, Mii hectare, 264.1
Total, Harghita, Anul 2016, Mii hectare, 264.1
Total, Harghita, Anul 2017, Mii hectare, 264.1
Total, Harghita, Anul 2018, Mii hectare, 264.1
Total, Harghita, Anul 2019, Mii hectare, 264.1
Total, Mures, Anul 1990, Mii hectare, 208.3
Total, Mures, Anul 1991, Mii hectare, 208.3
Total, Mures, Anul 1992, Mii hectare, 208.3
Total, Mures, Anul 1993, Mii hectare, 208.2
Total, Mures, Anul 1994, Mii hectare, 208.4
Total, Mures, Anul 1995, Mii hectare, 208.2
Total, Mures, Anul 1996, Mii hectare, 208.2
Total, Mures, Anul 1997, Mii hectare, 208.1
Total, Mures, Anul 1998, Mii hectare, 208.1
Total, Mures, Anul 1999, Mii hectare, 208.1
Total, Mures, Anul 2000, Mii hectare, 208.4
Total, Mures, Anul 2001, Mii hectare, 208.4
Total, Mures, Anul 2002, Mii hectare, 208.4
Total, Mures, Anul 2003, Mii hectare, 208.3
Total, Mures, Anul 2004, Mii hectare, 208.3
Total, Mures, Anul 2005, Mii hectare, 208.5
Total, Mures, Anul 2006, Mii hectare, 208.5
Total, Mures, Anul 2007, Mii hectare, 208.5
Total, Mures, Anul 2008, Mii hectare, 225.2
Total, Mures, Anul 2009, Mii hectare, 219.4
Total, Mures, Anul 2010, Mii hectare, 219.6
Total, Mures, Anul 2011, Mii hectare, 219.7
Total, Mures, Anul 2012, Mii hectare, 219.8
Total, Mures, Anul 2013, Mii hectare, 219.7
Total, Mures, Anul 2014, Mii hectare, 219.8
Total, Mures, Anul 2015, Mii hectare, 220.1
Total, Mures, Anul 2016, Mii hectare, 220.1
Total, Mures, Anul 2017, Mii hectare, 220.1
Total, Mures, Anul 2018, Mii hectare, 220
Total, Mures, Anul 2019, Mii hectare, 220.7
Total, Sibiu, Anul 1990, Mii hectare, 186.4
Total, Sibiu, Anul 1991, Mii hectare, 186.5
Total, Sibiu, Anul 1992, Mii hectare, 186.7
Total, Sibiu, Anul 1993, Mii hectare, 186.7
Total, Sibiu, Anul 1994, Mii hectare, 186.6
Total, Sibiu, Anul 1995, Mii hectare, 186.2
Total, Sibiu, Anul 1996, Mii hectare, 186.4
Total, Sibiu, Anul 1997, Mii hectare, 186.4
Total, Sibiu, Anul 1998, Mii hectare, 186.4
Total, Sibiu, Anul 1999, Mii hectare, 186.5
Total, Sibiu, Anul 2000, Mii hectare, 186.4
Total, Sibiu, Anul 2001, Mii hectare, 186.4
Total, Sibiu, Anul 2002, Mii hectare, 186.8
Total, Sibiu, Anul 2003, Mii hectare, 186.8
Total, Sibiu, Anul 2004, Mii hectare, 186.4
Total, Sibiu, Anul 2005, Mii hectare, 186.8
Total, Sibiu, Anul 2006, Mii hectare, 186.5
Total, Sibiu, Anul 2007, Mii hectare, 198.4
Total, Sibiu, Anul 2008, Mii hectare, 190
Total, Sibiu, Anul 2009, Mii hectare, 194.4
Total, Sibiu, Anul 2010, Mii hectare, 195.9
Total, Sibiu, Anul 2011, Mii hectare, 196.3
